timestamp,value,demand,rarity,last_change,stability
2026-07-24T06:00:00Z,0,0,0,0,Overpaid For
2026-07-24T09:00:00Z,0,0,0,0,Overpaid For
2026-07-24T12:00:00Z,0,0,0,0,Overpaid For
2026-07-24T15:00:00Z,0,0,0,0,Overpaid For
2026-07-24T18:00:00Z,0,0,0,0,Overpaid For
2026-07-24T21:00:00Z,375,5,4,0,Doing Well
2026-07-25T06:00:00Z,375,5,4,0,Doing Well
2026-07-25T09:00:00Z,375,5,4,0,Doing Well
2026-07-25T12:00:00Z,375,5,4,0,Doing Well
2026-07-25T15:00:00Z,375,5,4,0,Doing Well
2026-07-25T18:00:00Z,375,5,4,0,Doing Well
2026-07-25T21:00:00Z,300,4,4,0,Doing Well
2026-07-26T06:00:00Z,300,4,4,0,Doing Well
2026-07-26T09:00:00Z,300,4,4,0,Doing Well
2026-07-26T12:00:00Z,300,4,4,0,Doing Well
2026-07-26T15:00:00Z,300,4,4,0,Doing Well
2026-07-26T18:00:00Z,300,4,4,0,Doing Well
2026-07-26T21:00:00Z,250,4,4,0,Fluctuating
2026-07-27T06:00:00Z,250,4,4,0,Fluctuating
2026-07-27T09:00:00Z,250,4,4,0,Fluctuating
2026-07-27T12:00:00Z,250,4,4,0,Fluctuating
2026-07-27T15:00:00Z,250,4,4,0,Fluctuating
2026-07-27T18:00:00Z,250,4,4,0,Fluctuating
2026-07-27T21:00:00Z,225,3,3,0,Fluctuating
2026-07-28T06:00:00Z,225,3,3,0,Fluctuating
2026-07-28T09:00:00Z,225,3,3,0,Fluctuating
2026-07-28T12:00:00Z,225,3,3,0,Fluctuating
2026-07-28T15:00:00Z,225,3,3,0,Fluctuating
2026-07-28T18:00:00Z,225,3,3,0,Fluctuating
2026-07-28T21:00:00Z,225,3,3,0,Fluctuating
2026-07-29T06:00:00Z,175,3,3,0,Fluctuating
2026-07-29T09:00:00Z,175,3,3,0,Fluctuating
2026-07-29T12:00:00Z,175,3,3,0,Fluctuating
2026-07-29T15:00:00Z,175,3,3,0,Fluctuating
2026-07-29T21:00:00Z,160,3,3,0,Fluctuating
2026-07-30T06:00:00Z,160,3,3,0,Fluctuating
2026-07-30T09:00:00Z,160,3,3,0,Fluctuating
2026-07-30T12:00:00Z,160,3,3,0,Fluctuating
2026-07-30T15:00:00Z,160,3,3,0,Fluctuating
2026-07-30T18:00:00Z,160,3,3,0,Fluctuating
2026-07-30T21:00:00Z,160,3,3,0,Fluctuating
2026-07-31T06:00:00Z,160,3,3,0,Fluctuating
2026-07-31T09:00:00Z,160,3,3,0,Fluctuating
2026-07-31T12:00:00Z,160,3,3,0,Fluctuating
2026-07-31T15:00:00Z,160,3,3,0,Fluctuating
2026-07-31T18:00:00Z,160,3,3,0,Fluctuating
2026-07-31T21:00:00Z,160,3,3,0,Fluctuating
2026-08-01T06:00:00Z,150,3,3,0,Fluctuating
2026-08-01T09:00:00Z,150,3,3,0,Fluctuating
2026-08-01T12:00:00Z,150,3,3,0,Fluctuating
2026-08-01T15:00:00Z,150,3,3,0,Fluctuating
2026-08-01T18:00:00Z,150,3,3,0,Fluctuating
2026-08-01T21:00:00Z,150,3,3,0,Fluctuating
2026-08-02T06:00:00Z,150,3,3,0,Fluctuating
2026-08-02T09:00:00Z,150,3,3,0,Fluctuating
2026-08-02T12:00:00Z,150,3,3,0,Fluctuating
2026-08-02T15:00:00Z,150,3,3,0,Fluctuating
2026-08-02T18:00:00Z,150,3,3,0,Fluctuating
2026-08-02T21:00:00Z,150,3,3,0,Fluctuating
2026-08-03T06:00:00Z,150,3,3,0,Fluctuating
2026-08-03T09:00:00Z,150,3,3,0,Fluctuating
2026-08-03T12:00:00Z,150,3,3,0,Fluctuating
2026-08-03T15:00:00Z,150,3,3,0,Fluctuating
2026-08-03T18:00:00Z,150,3,3,0,Fluctuating
2026-08-03T21:00:00Z,150,3,3,0,Fluctuating
2026-08-04T06:00:00Z,150,3,3,0,Fluctuating
2026-08-04T09:00:00Z,150,3,3,0,Fluctuating
2026-08-04T12:00:00Z,150,3,3,0,Fluctuating
2026-08-04T15:00:00Z,150,3,3,0,Fluctuating
2026-08-04T18:00:00Z,150,3,3,0,Fluctuating
2026-08-04T21:00:00Z,150,3,3,0,Fluctuating
